temp	var	treat(µM-h)	det	rep	%g
3C 	RGS003	150-24	non deteriorated	3	30
3C 	RGS003	150-24	prime then deterioration	1	0
3C 	RGS003	150-24	prime then deterioration	2	0
3C 	RGS003	150-24	prime then deterioration	3	0
3C 	RGS003	150-24	deterioration then prime	1	0
3C 	RGS003	150-24	deterioration then prime	2	0
3C 	RGS003	150-24	deterioration then prime	3	0
3C 	RGS003	150-40	non deteriorated	1	48
3C 	RGS003	150-40	non deteriorated	2	4
3C 	RGS003	150-40	non deteriorated	3	18
3C 	RGS003	150-40	prime then deterioration	1	0
3C 	RGS003	150-40	prime then deterioration	2	0
3C 	RGS003	150-40	prime then deterioration	3	0
3C 	RGS003	150-40	deterioration then prime	1	0
3C 	RGS003	150-40	deterioration then prime	2	0
3C 	RGS003	150-40	deterioration then prime	3	0
3C 	RGS003	hydro	non deteriorated	1	14
3C 	RGS003	hydro	non deteriorated	2	50
3C 	RGS003	hydro	non deteriorated	3	20
3C 	RGS003	hydro	prime then deterioration	1	0
3C 	RGS003	hydro	prime then deterioration	2	0
3C 	RGS003	hydro	prime then deterioration	3	0
3C 	RGS003	hydro	deterioration then prime	1	6
3C 	RGS003	hydro	deterioration then prime	2	0
3C 	RGS003	hydro	deterioration then prime	3	0
3C 	RGS003	c	non deteriorated	1	18
3C 	RGS003	c	non deteriorated	2	0
3C 	RGS003	c	non deteriorated	3	4
3C 	RGS003	c	prime then deterioration	1	0
3C 	RGS003	c	prime then deterioration	2	0
3C 	RGS003	c	prime then deterioration	3	0
3C 	RGS003	c	deterioration then prime	1	0
3C 	RGS003	c	deterioration then prime	2	0
3C 	RGS003	c	deterioration then prime	3	0
7C	Zarfam	50-24	non deteriorated	1	82
7C	Zarfam	50-24	non deteriorated	2	84
7C	Zarfam	50-24	non deteriorated	3	80
7C	Zarfam	50-24	prime then deterioration	1	0
7C	Zarfam	50-24	prime then deterioration	2	0
7C	Zarfam	50-24	prime then deterioration	3	0
7C	Zarfam	50-24	deterioration then prime	1	0
7C	Zarfam	50-24	deterioration then prime	2	0
7C	Zarfam	50-24	deterioration then prime	3	0
7C	Zarfam	50-40	non deteriorated	1	86
7C	Zarfam	50-40	non deteriorated	2	84
7C	Zarfam	50-40	non deteriorated	3	84
7C	Zarfam	50-40	prime then deterioration	1	0
7C	Zarfam	50-40	prime then deterioration	2	0
7C	Zarfam	50-40	prime then deterioration	3	0
7C	Zarfam	50-40	deterioration then prime	1	0
7C	Zarfam	50-40	deterioration then prime	2	0
7C	Zarfam	50-40	deterioration then prime	3	0
7C	Zarfam	100-24	non deteriorated	1	82
7C	Zarfam	100-24	non deteriorated	2	80
7C	Zarfam	100-24	non deteriorated	3	94
7C	Zarfam	100-24	prime then deterioration	1	0
7C	Zarfam	100-24	prime then deterioration	2	0
7C	Zarfam	100-24	prime then deterioration	3	0
7C	Zarfam	100-24	deterioration then prime	1	0
7C	Zarfam	100-24	deterioration then prime	2	0
7C	Zarfam	100-24	deterioration then prime	3	0
7C	Zarfam	100-40	non deteriorated	1	80
7C	Zarfam	100-40	non deteriorated	2	90
7C	Zarfam	100-40	non deteriorated	3	88
7C	Zarfam	100-40	prime then deterioration	1	0
7C	Zarfam	100-40	prime then deterioration	2	0
7C	Zarfam	100-40	prime then deterioration	3	0
7C	Zarfam	100-40	deterioration then prime	1	0
7C	Zarfam	100-40	deterioration then prime	2	0
7C	Zarfam	100-40	deterioration then prime	3	0
7C	Zarfam	150-24	non deteriorated	1	86
7C	Zarfam	150-24	non deteriorated	2	80
7C	Zarfam	150-24	non deteriorated	3	94
7C	Zarfam	150-24	prime then deterioration	1	0
7C	Zarfam	150-24	prime then deterioration	2	0
7C	Zarfam	150-24	prime then deterioration	3	0
7C	Zarfam	150-24	deterioration then prime	1	0
7C	Zarfam	150-24	deterioration then prime	2	0
7C	Zarfam	150-24	deterioration then prime	3	0
7C	Zarfam	150-40	non deteriorated	1	82
7C	Zarfam	150-40	non deteriorated	2	84
7C	Zarfam	150-40	non deteriorated	3	80
7C	Zarfam	150-40	prime then deterioration	1	0
7C	Zarfam	150-40	prime then deterioration	2	0
7C	Zarfam	150-40	prime then deterioration	3	0
7C	Zarfam	150-40	deterioration then prime	1	0
7C	Zarfam	150-40	deterioration then prime	2	0
7C	Zarfam	150-40	deterioration then prime	3	0
7C	Zarfam	hydro	non deteriorated	1	88
7C	Zarfam	hydro	non deteriorated	2	88
7C	Zarfam	hydro	non deteriorated	3	80
7C	Zarfam	hydro	prime then deterioration	1	0
7C	Zarfam	hydro	prime then deterioration	2	0
7C	Zarfam	hydro	prime then deterioration	3	0
7C	Zarfam	hydro	deterioration then prime	1	0
7C	Zarfam	hydro	deterioration then prime	2	0
7C	Zarfam	hydro	deterioration then prime	3	0
7C	Zarfam	c	non deteriorated	1	52
7C	Zarfam	c	non deteriorated	2	62
7C	Zarfam	c	non deteriorated	3	52
7C	Zarfam	c	prime then deterioration	1	0
7C	Zarfam	c	prime then deterioration	2	0
7C	Zarfam	c	prime then deterioration	3	0
7C	Zarfam	c	deterioration then prime	1	0
7C	Zarfam	c	deterioration then prime	2	0
7C	Zarfam	c	deterioration then prime	3	0
7C	RGS003	50-24	non deteriorated	1	92
7C	RGS003	50-24	non deteriorated	2	96
7C	RGS003	50-24	non deteriorated	3	94
7C	RGS003	50-24	prime then deterioration	1	0
7C	RGS003	50-24	prime then deterioration	2	0
7C	RGS003	50-24	prime then deterioration	3	0
7C	RGS003	50-24	deterioration then prime	1	0
7C	RGS003	50-24	deterioration then prime	2	0
7C	RGS003	50-24	deterioration then prime	3	0
7C	RGS003	50-40	non deteriorated	1	96
7C	RGS003	50-40	non deteriorated	2	86
7C	RGS003	50-40	non deteriorated	3	76
7C	RGS003	50-40	prime then deterioration	1	0
7C	RGS003	50-40	prime then deterioration	2	0
7C	RGS003	50-40	prime then deterioration	3	0
7C	RGS003	50-40	deterioration then prime	1	0
7C	RGS003	50-40	deterioration then prime	2	0
7C	RGS003	50-40	deterioration then prime	3	0
7C	RGS003	100-24	non deteriorated	1	94
7C	RGS003	100-24	non deteriorated	2	100
7C	RGS003	100-24	non deteriorated	3	98
7C	RGS003	100-24	prime then deterioration	1	0
7C	RGS003	100-24	prime then deterioration	2	0
7C	RGS003	100-24	prime then deterioration	3	0
7C	RGS003	100-24	deterioration then prime	1	0
7C	RGS003	100-24	deterioration then prime	2	0
7C	RGS003	100-24	deterioration then prime	3	0
7C	RGS003	100-40	non deteriorated	1	92
7C	RGS003	100-40	non deteriorated	2	96
7C	RGS003	100-40	non deteriorated	3	88
7C	RGS003	100-40	prime then deterioration	1	0
7C	RGS003	100-40	prime then deterioration	2	0
7C	RGS003	100-40	prime then deterioration	3	0
7C	RGS003	100-40	deterioration then prime	1	0
7C	RGS003	100-40	deterioration then prime	2	0
7C	RGS003	100-40	deterioration then prime	3	0
7C	RGS003	150-24	non deteriorated	1	96
7C	RGS003	150-24	non deteriorated	2	94
7C	RGS003	150-24	non deteriorated	3	80
7C	RGS003	150-24	prime then deterioration	1	0
7C	RGS003	150-24	prime then deterioration	2	0
7C	RGS003	150-24	prime then deterioration	3	0
7C	RGS003	150-24	deterioration then prime	1	0
7C	RGS003	150-24	deterioration then prime	2	0
7C	RGS003	150-24	deterioration then prime	3	0
7C	RGS003	150-40	non deteriorated	1	92
7C	RGS003	150-40	non deteriorated	2	78
7C	RGS003	150-40	non deteriorated	3	72
7C	RGS003	150-40	prime then deterioration	1	0
7C	RGS003	150-40	prime then deterioration	2	0
7C	RGS003	150-40	prime then deterioration	3	0
7C	RGS003	150-40	deterioration then prime	1	0
7C	RGS003	150-40	deterioration then prime	2	0
7C	RGS003	150-40	deterioration then prime	3	0
7C	RGS003	hydro	non deteriorated	1	70
7C	RGS003	hydro	non deteriorated	2	72
7C	RGS003	hydro	non deteriorated	3	84
7C	RGS003	hydro	prime then deterioration	1	0
7C	RGS003	hydro	prime then deterioration	2	0
7C	RGS003	hydro	prime then deterioration	3	0
7C	RGS003	hydro	deterioration then prime	1	0
7C	RGS003	hydro	deterioration then prime	2	0
7C	RGS003	hydro	deterioration then prime	3	0
7C	RGS003	c	non deteriorated	1	80
7C	RGS003	c	non deteriorated	2	68
7C	RGS003	c	non deteriorated	3	72
7C	RGS003	c	prime then deterioration	1	0
7C	RGS003	c	prime then deterioration	2	0
7C	RGS003	c	prime then deterioration	3	0
7C	RGS003	c	deterioration then prime	1	0
7C	RGS003	c	deterioration then prime	2	0
7C	RGS003	c	deterioration then prime	3	0
20C	Zarfam	50-24	non deteriorated	1	92
20C	Zarfam	50-24	non deteriorated	2	98
20C	Zarfam	50-24	non deteriorated	3	94
20C	Zarfam	50-24	prime then deterioration	1	16
20C	Zarfam	50-24	prime then deterioration	2	14
20C	Zarfam	50-24	prime then deterioration	3	12
20C	Zarfam	50-24	deterioration then prime	1	2
20C	Zarfam	50-24	deterioration then prime	2	2
20C	Zarfam	50-24	deterioration then prime	3	26
20C	Zarfam	50-40	non deteriorated	1	90
20C	Zarfam	50-40	non deteriorated	2	94
20C	Zarfam	50-40	non deteriorated	3	94
20C	Zarfam	50-40	prime then deterioration	1	8
20C	Zarfam	50-40	prime then deterioration	2	10
20C	Zarfam	50-40	prime then deterioration	3	6
20C	Zarfam	50-40	deterioration then prime	1	16
20C	Zarfam	50-40	deterioration then prime	2	16
20C	Zarfam	50-40	deterioration then prime	3	18
20C	Zarfam	100-24	non deteriorated	1	98
20C	Zarfam	100-24	non deteriorated	2	94
20C	Zarfam	100-24	non deteriorated	3	100
20C	Zarfam	100-24	prime then deterioration	1	10
20C	Zarfam	100-24	prime then deterioration	2	12
20C	Zarfam	100-24	prime then deterioration	3	8
20C	Zarfam	100-24	deterioration then prime	1	10
20C	Zarfam	100-24	deterioration then prime	2	74
20C	Zarfam	100-24	deterioration then prime	3	16
20C	Zarfam	100-40	non deteriorated	1	96
20C	Zarfam	100-40	non deteriorated	2	92
20C	Zarfam	100-40	non deteriorated	3	94
20C	Zarfam	100-40	prime then deterioration	1	48
20C	Zarfam	100-40	prime then deterioration	2	38
20C	Zarfam	100-40	prime then deterioration	3	58
20C	Zarfam	100-40	deterioration then prime	1	0
20C	Zarfam	100-40	deterioration then prime	2	0
20C	Zarfam	100-40	deterioration then prime	3	0
20C	Zarfam	150-24	non deteriorated	1	96
20C	Zarfam	150-24	non deteriorated	2	94
20C	Zarfam	150-24	non deteriorated	3	92
20C	Zarfam	150-24	prime then deterioration	1	36
20C	Zarfam	150-24	prime then deterioration	2	32
20C	Zarfam	150-24	prime then deterioration	3	40
